"Timestamp","Please tick the checkbox below as a way of providing informed consent for us to utilize your answers in the project.","What is your gender?","What is your field of study?","What is your year of study?","On a scale of 1-5, how would you rate the current state of mental health support at your university?","Have you ever utilized the mental health care services offered at your university?","If yes, how satisfied were you with the services offered?","What mental health challenges do you or your peers commonly face? (Pick the top three)","How comfortable do you feel discussing Mental Health issues with: [Friends]","How comfortable do you feel discussing Mental Health issues with: [Family]","How comfortable do you feel discussing Mental Health issues with: [University staff]","How comfortable do you feel discussing Mental Health issues with: [Professional counselors]","What barriers, if any, have you experienced in accessing mental health support? ","What methods or activities do you use to maintain your mental health?","How comfortable would you feel using a mental health companion software application powered by Artificial Intelligence?","What features would you find helpful in a mental health companion software application powered by Artificial Intelligence? (Select your top three)","What concerns, if any, would you have about using a mental health companion software application powered by Artificial Intelligence?","In your opinion, how can universities improve mental health support for students?","Any additional comments or suggestions regarding mental health support in universities?"
"2024/09/20 7:56:24 am GMT+3","I give you my consent","Female","Law","4th Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat comfortable","None coz i have not utilised the service ","Exercise","3 - Neutral","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/20 9:13:44 am GMT+3","I give you my consent","Female","Economics and Statistics ","3rd Year","4 - Good","Yes","4 - Satisfied","Stress;Academic pressure;Financial concerns","Neutral","Neutral","Neutral","Neutral","Financial constraints","Meditation or mindfulness","1 - Very Uncomfortable","Daily mood tracking","Privacy","Giving free lunch, ","None"
"2024/09/20 10:50:43 am GMT+3","I give you my consent","Female","Natural Sciences","4th Year","2 - Poor","Yes","3 - Neutral","Stress;Anxiety;Academic pressure","Very uncomfortable","Somewhat comfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Stigma surrounding mental health;Financial constraints","Isolation and sleeping ","3 - Neutral","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed;Anonymous peer support","Privacy;How accessible can it be? offline or online ","Advocating more for the sessions and how readily available they could be.","Commitment and being able to follow up on their patients even after they recover "
"2024/09/20 11:28:37 am GMT+3","I give you my consent","Male","Law","4th Year","3 - Fair","No","","Depression;Academic pressure;Suicidal tendencies and self harm","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Avoidance ","Avoidance ","3 - Neutral","Personalized coping strategies","Privacy","They should care about it and show it",""
"2024/09/20 4:05:48 pm GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Very comfortable","Neutral","Very uncomfortable","Somewhat uncomfortable","Long wait times;Limited availability of counselors;Stigma surrounding mental health","Social support","3 - Neutral","Daily mood tracking;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/20 8:46:21 pm GMT+3","I give you my consent","Female","Information Technology (IT)","2nd Year","2 - Poor","No","","Stress;Anxiety;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Long wait times","Exercise","5 - Very Comfortable","Daily mood tracking","","Making it digital so that one doesnt need to move around looking for the personnel","Nothing"
"2024/09/20 10:59:02 pm GMT+3","I give you my consent","Female","Mass communication and journalism ","3rd Year","3 - Fair","No","","Stress;Anxiety;Loneliness","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","With better awareness ",""
"2024/09/20 11:57:04 pm GMT+3","I give you my consent","Male","Legal","4th Year","3 - Fair","Yes","3 - Neutral","Stress;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","3 - Neutral","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Go beyond the club, have talks in halls & schools from time to time in version of workshops",""
"2024/09/21 11:02:54 am GMT+3","I give you my consent","Male","Health Sciences","2nd Year","2 - Poor","No","","Stress;Anxiety;Depression","Neutral","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Meditation or mindfulness","5 - Very Comfortable","Personalized coping strategies;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Bigining activities for the lectures ","Consider age category, hobbies"
"2024/09/21 9:12:06 pm GMT+3","I give you my consent","Male","Law","4th Year","3 - Fair","Yes","4 - Satisfied","Stress;Depression;Academic pressure","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Lack of awareness about available resources","Exercise;Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health","Privacy;Incorrect mental health information","More support ","None "
"2024/09/23 11:01:13 am GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","1 - Very poor","Yes","2 - Not Satisfied","Depression;Loneliness;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Daily mood tracking;Personalized coping strategies;Educational resources on mental health","Privacy;Incorrect mental health information","","No"
"2024/09/23 12:09:14 pm GMT+3","I give you my consent","Female","Information Technology (IT)","3rd Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Neutral","Neutral","None ","None","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/23 10:37:39 pm GMT+3","I give you my consent","Male","Information Technology (IT)","1st Year","4 - Good","Yes","4 - Satisfied","Stress;Depression;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Long wait times","Exercise","3 - Neutral","Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","By doing regular research ",""
"2024/09/26 8:31:25 am GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Very uncomfortable","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Lack of awareness about available resources;Financial constraints","outings ","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Trained A.I chat bot to communicate with","Privacy","providing spaces for them to support their mental health","no"
"2024/09/26 9:27:50 am GMT+3","I give you my consent","Male","Information Technology (IT)","1st Year","2 - Poor","No","3 - Neutral","Loneliness;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Gaming and coding","4 - Somewhat Comfortable","Personalized coping strategies;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","i think it should be brought down to a class level where an inteligent fellow is appointed in every class to provide these services","This is a good endeavor"
"2024/09/26 7:11:50 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","1 - Very poor","Yes","3 - Neutral","Depression;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Long wait times","Exercise","4 - Somewhat Comfortable","Daily mood tracking;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","Add more counsellors","Need to add more counsellers"
"2024/09/26 10:58:26 pm GMT+3","I give you my consent","Female","Software engineering ","1st Year","5 - Very good","No","3 - Neutral","Anxiety;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Neutral","Lack of awareness about available resources","Meditation or mindfulness","4 - Somewhat Comfortable","Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","Providing professional staff to speak to students specifically in counselling fields","Ensure students get comfortable with trained counselling staff"
"2024/09/28 11:33:26 am GMT+3","I give you my consent","Female","Information Technology (IT)","2nd Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Educational resources on mental health","Privacy","Reach out to students so as to create safe space",""
"2024/09/28 1:24:01 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","4th Year","1 - Very poor","No","1 - Disappointed","Stress;Anxiety;Depression","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors;Stigma surrounding mental health","Exercise;Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy","N/A","N/A"
"2024/09/28 1:36:32 pm GMT+3","I give you my consent","Female","Statistics","3rd Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Very comfortable","Very comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","5 - Very Comfortable","Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/28 7:17:23 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","3 - Fair","No","","Stress;Loneliness;Academic pressure","Very comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat comfortable","Long wait times;Lack of awareness about available resources","Exercise;Social support","2 - Somewhat Uncomfortable","Daily mood tracking;Connection to professional help when needed;Anonymous peer support","Privacy","Test 1",""
"2024/09/28 8:01:57 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Neutral","Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Privacy;Incorrect mental health information","Invest more in mobile mental health services",""
"2024/09/28 8:13:35 pm GMT+3","I give you my consent","Female","Performing Arts","2nd Year","3 - Fair","No","","Stress;Depression;Financial concerns","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Limited availability of counselors","Meditation or mindfulness","5 - Very Comfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","Provide counsellors ","No"
"2024/09/28 8:22:00 pm GMT+3","I give you my consent","Female","Natural Sciences","2nd Year","3 - Fair","No","3 - Neutral","Anxiety;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Stigma surrounding mental health","Exercise","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy;Incorrect mental health information","Organise frequent guidance and counselling sessions ","More guidance counselling experts should pay attention to students to ensure their well being"
"2024/09/28 8:24:04 pm GMT+3","I give you my consent","Female","Economics","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Neutral","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy","Give platform to students who have gone through and overcame to talk to other students","Non"
"2024/09/28 8:35:07 pm GMT+3","I give you my consent","Female","Natural Sciences","1st Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","3 - Neutral","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Incorrect mental health information","By extending counselling sessions to the individual colleges
",""
"2024/09/28 8:44:43 pm GMT+3","I give you my consent","Female","Humanities","1st Year","3 - Fair","No","3 - Neutral","Anxiety;Depression;Academic pressure","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health","Meditation or mindfulness","2 - Somewhat Uncomfortable","Connection to professional help when needed;Anonymous peer support;Educational resources on mental health","Privacy;Incorrect mental health information","Creating support groups where people meet up and talk together ",""
"2024/09/28 8:45:16 pm GMT+3","I give you my consent","Female","Agriculture and Environmental Studies","1st Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","1 - Very Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","Putting up quotes to motivate people","More care to lonely people"
"2024/09/28 8:53:46 pm GMT+3","I give you my consent","Female","Quantitative economics ","1st Year","3 - Fair","No","3 - Neutral","Stress;Depression;Academic pressure","Very comfortable","Somewhat uncomfortable","Very comfortable","Very comfortable","Long wait times","Exercise","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Through providing counselling and guidance to the students 
Through encouraging students to get engaged in different activities ","More money should be put in mental health support "
"2024/09/28 9:05:43 pm GMT+3","I give you my consent","Female","Social sciences","1st Year","2 - Poor","No","","Stress;Anxiety;Academic pressure","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","3 - Neutral","Meditation and mindfulness exercises;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","Better services could be provided ","Reducing on study time "
"2024/09/28 9:32:14 pm GMT+3","I give you my consent","Female","Art's  in social sciences ","2nd Year","3 - Fair","Yes","3 - Neutral","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Neutral","Somewhat comfortable","Lack of awareness about available resources","Social support","4 - Somewhat Comfortable","Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support","Incorrect mental health information","By hiring more conselors","Students should not be over stressed "
"2024/09/28 9:38:34 pm GMT+3","I give you my consent","Female","Social sciences","1st Year","1 - Very poor","Yes","1 - Disappointed","Stress;Anxiety;Depression","Very uncomfortable","Very comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Long wait times","Social support","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy","Using Internet ","We need someone to support our mental health because its Crucial "
"2024/09/28 9:42:27 pm GMT+3","I give you my consent","Female","Biomedical laboratory technology ","1st Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Neutral","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy;Incorrect mental health information","Giving students enough time and easing access to mental health care services ",""
"2024/09/28 9:47:13 pm GMT+3","I give you my consent","Female","Health Sciences","4th Year","3 - Fair","No","3 - Neutral","Anxiety;Depression;Academic pressure","Very comfortable","Very comfortable","Somewhat comfortable","Very comfortable","Limited availability of counselors","Exercise;Meditation or mindfulness","2 - Somewhat Uncomfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Privacy","Make mental health services accessible and increase awareness about the services","None"
"2024/09/28 9:50:06 pm GMT+3","I give you my consent","Female","Health Sciences","4th Year","2 - Poor","No","3 - Neutral","Stress;Depression;Academic pressure","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness","3 - Neutral","Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","",""
"2024/09/28 9:55:23 pm GMT+3","I give you my consent","Female","Natural Sciences","2nd Year","3 - Fair","Yes","4 - Satisfied","Stress;Depression;Financial concerns","Somewhat uncomfortable","Very uncomfortable","Neutral","Neutral","Long wait times","Exercise","2 - Somewhat Uncomfortable","Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Providing them with guidance and counseling sessions ","There are always long wait lines and I request they hire more workers "
"2024/09/28 9:56:23 pm GMT+3","I give you my consent","Female","Social sciences ","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Very comfortable","Neutral","Finding time","Social support","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","Providing cancellors at all times not on particular days","It should be everyone's concern"
"2024/09/28 10:43:34 pm GMT+3","I give you my consent","Female","Business studies","1st Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Academic pressure","Somewhat comfortable","Somewhat comfortable","Very uncomfortable","Somewhat comfortable","None","Social support","4 - Somewhat Comfortable","Daily mood tracking;Anonymous peer support;Educational resources on mental health","Privacy","Engaging students in activities that help them cope with their mental health ","None "
"2024/09/30 12:47:10 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","1 - Very poor","Yes","2 - Not Satisfied","Stress;Depression;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Long wait times;Limited availability of counselors;Stigma surrounding mental health;Financial constraints","Exercise","3 - Neutral","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Incorrect mental health information","",""
"2024/10/02 9:02:34 am GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","3 - Fair","No","","Anxiety;Depression;Loneliness","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Lack of awareness about available resources","Meditation or mindfulness;Social support","3 - Neutral","Personalized coping strategies;Anonymous peer support;Educational resources on mental health","Privacy","Boosting awareness of the mental health services and their importance ",""
"2024/10/02 9:09:39 am GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Loneliness;Academic pressure;Financial concerns","Somewhat comfortable","Neutral","Somewhat uncomfortable","Very comfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","4 - Somewhat Comfortable","Personalized coping strategies;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Creating more awareness about the available resources ",""
"2024/10/02 5:02:51 pm GMT+3","I give you my consent","Female","Natural Sciences","1st Year","5 - Very good","No","3 - Neutral","Stress;Academic pressure;Financial concerns","Very comfortable","Somewhat uncomfortable","Neutral","Somewhat comfortable","Lack of awareness about available resources","Meditation or mindfulness;Social support","1 - Very Uncomfortable","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","Raising more awareness about mental heating challenges as a serious concern ",""
"2024/10/02 8:25:14 pm GMT+3","I give you my consent","Female","Social sciences","1st Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Academic pressure","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Lack of awareness about available resources","Exercise;Swimming ","5 - Very Comfortable","Meditation and mindfulness exercises;Anonymous peer support;Educational resources on mental health","Privacy","Through  bringing councilors per college because people find it hectic attending meetings with very many people ","No"
"2024/10/02 9:01:41 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","1 - Very poor","No","1 - Disappointed","Stress;Depression;Academic pressure","Very uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Long wait times;Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Social support","4 - Somewhat Comfortable","Meditation and mindfulness exercises;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","",""
"2024/10/02 9:01:45 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Depression;Financial concerns","Somewhat uncomfortable","Neutral","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources;Financial constraints","Social support;Pray","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","Create forums for students to exchange concerns ",""
"2024/10/02 9:06:46 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very uncomfortable","Somewhat uncomfortable","Very comfortable","Stigma surrounding mental health;Financial constraints","Meditation or mindfulness;","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Create access points for mental health support in every part of the university ",""
"2024/10/07 5:57:10 pm GMT+3","I give you my consent","Female","statistics ","2nd Year","3 - Fair","No","","Anxiety;Loneliness;Academic pressure","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Social support","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","",""
"2024/10/07 5:57:33 pm GMT+3","I give you my consent","Male","Statistics","2nd Year","1 - Very poor","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","Stigma surrounding mental health","Social support","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy;Incorrect mental health information","Make psychology consellors available ",""
"2024/10/07 6:03:07 pm GMT+3","I give you my consent","Male","Health Sciences","2nd Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Academic pressure","Neutral","Neutral","Neutral","Neutral","Long wait times;Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy","More medical personnel and counselors ","More facilities to provide mental health "
"2024/10/07 6:05:29 pm GMT+3","I give you my consent","Male","Business ","1st Year","3 - Fair","No","3 - Neutral","Stress;Loneliness;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Financial constraints","Smoke","1 - Very Uncomfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Financial assistance ","It should sensitize more about the issue"
"2024/10/07 6:05:30 pm GMT+3","I give you my consent","Male","Business","1st Year","3 - Fair","Yes","3 - Neutral","Anxiety;Depression;Financial concerns","Very uncomfortable","Very comfortable","Very uncomfortable","Very comfortable","Stigma surrounding mental health","Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","By providing financial assistance ",""
"2024/10/07 6:05:43 pm GMT+3","I give you my consent","Female","Business ","1st Year","4 - Good","Yes","4 - Satisfied","Stress;Academic pressure;Financial concerns","Neutral","Somewhat uncomfortable","Very comfortable","Neutral","Limited availability of counselors;","Social support","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Privacy","By providing financial assistance ","mental health is real"
"2024/10/07 6:05:45 pm GMT+3","I give you my consent","Male","Business","1st Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Somewhat comfortable","Somewhat comfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness","1 - Very Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy","By talking to students and providing workable solutions through online sessions and services that can be accessed anytime ","Mental health is a big issue that should be sensitized consistently "
"2024/10/07 6:09:16 pm GMT+3","I give you my consent","Female","Business","1st Year","3 - Fair","No","2 - Not Satisfied","Anxiety;Depression;Academic pressure","Neutral","Somewhat comfortable","Neutral","Neutral","Financial constraints","Exercise;Meditation or mindfulness","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy","Providing counselors in every hall of residence ","No"
"2024/10/07 6:15:34 pm GMT+3","I give you my consent","Male","Commerce accounting ","2nd Year","3 - Fair","Yes","4 - Satisfied","Stress;Anxiety;Academic pressure","Somewhat comfortable","Very comfortable","Somewhat comfortable","Somewhat comfortable","Long wait times;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support","Incorrect mental health information;Over stated responses and confusion ","Officiate social gatherings and free expression ","Increase access to such service as much as possible "
"2024/10/07 6:17:47 pm GMT+3","I give you my consent","Female","Bachelor of Commerce ","2nd Year","2 - Poor","No","2 - Not Satisfied","Stress;Depression;Academic pressure","Neutral","Somewhat comfortable","Neutral","Somewhat comfortable","Lack of awareness about available resources","Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Making the available resources in existence known ","No"
"2024/10/07 6:19:09 pm GMT+3","I give you my consent","Female","Business ","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","Providing counselors ",""
"2024/10/07 6:19:52 pm GMT+3","I give you my consent","Male","Bachelors of commerce ","2nd Year","3 - Fair","No","1 - Disappointed","Loneliness;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Very uncomfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Social support","3 - Neutral","Personalized coping strategies;Connection to professional help when needed;Educational resources on mental health","Privacy","Ensuring proper counselling and guidance of students ","Sensitization should be carried out on a periodic basis "
"2024/10/07 6:20:04 pm GMT+3","I give you my consent","Female","Business","2nd Year","3 - Fair","No","","Stress;Anxiety;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors","Therapy or counseling","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","By using the app","Yes"
"2024/10/07 6:22:23 pm GMT+3","I give you my consent","Male","Health Sciences","3rd Year","4 - Good","Yes","2 - Not Satisfied","Anxiety;Loneliness;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","1 - Very Uncomfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Privacy","Create awareness",""
"2024/10/07 6:23:12 pm GMT+3","I give you my consent","Male","Health Sciences","5th Year","3 - Fair","No","3 - Neutral","Anxiety;Depression;Academic pressure","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Personalized coping strategies;Anonymous peer support;Educational resources on mental health","Incorrect mental health information","Improving the financial welfare of students especially females. Financial burden is the number one cause of mental health in university students from point perspective. ","Mental health, just like other issues of public health importance especially in universities should be addressed on both genders."
"2024/10/07 6:23:57 pm GMT+3","I give you my consent","Female","Bachelor of commerce ","2nd Year","3 - Fair","Yes","3 - Neutral","Stress;Academic pressure;Financial concerns","Very comfortable","Somewhat comfortable","Very comfortable","Very comfortable","Limited availability of counselors;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","4 - Somewhat Comfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support","Incorrect mental health information","By telling them about the availability of the mental health services ","Helps students to keep on track "
